Name,Age,Gender,Education_level,Experience,Career_preference,Skills,Actual_career
John Bosco,23,Male,UACE certificate,2,Journalist,Confidence,High school teacher
Esther,21,Female,Bachelor's,1,Software developer,Coding ,Software Engineer
Cronnie,22,Female,Bachelor's,1,Epidemiologist ,"Data management, communication ",Nurse
Emmanuel,22,Male,UACE certificate,2,cyber security officer,"programming, pen testing ",IT officer
Owen,27,Male,Bachelor's,3,IT officer,Computer literacy,IT officer
Rashidah,23,Female,Bachelor's,2,Taxation officer,Accounting ,Receptionist
Sanyu Rebecca,24,Female,Bachelor's,1,High school teacher,Practical skills ,Primary school teacher
Britney Pearl,22,Female,UACE certificate,3,IT Auditor,IT skills,IT support
Rashimi,19,Female,UCE certificate,3,Neurosurgeron,Communication and perseverance ,Doctor
Eliminah,25,Female,Bachelor's,1,Sales representative,Critical thinking and analytical skills,Receptionist
Patricia Zareth,23,Male,Bachelor's,2,Software Engineer,Coding ,Data Scientist
Chris Katende,21,Male,Bachelor's,1,oil and gas engineer,Practical skills,oil and gas engineer
Cassandra,21,Female,Bachelor's,1,oil and gas engineer,Practical skills,oil and gas engineer
Grace,22,Male,UACE certificate,1,Dentist,"Manual Dexterity, communication ",Dentist
Ally,23,Male,Bachelor's,2,Data analyst,Problem solving ,Content Creator
Mile,23,Male,UACE certificate,2,Software Developer,Practical Skills,Web Developer
Mike,22,Female,UACE certificate,1,Doctor,Practical skills,Medicine
Eron,21,Female,UACE certificate,2,Surgeon,"Confidence , knowledge, critical and fast thinking , leadership, communication ",Nursing 
Zareth,26,Male,Bachelor's,4,Human Resource Manager,Leadership ,Receptionist
Sofia,22,Female,UACE certificate,1,LAWYER ,"Communication, teamwork, writing, listening ",Law
Sophie,22,Female,Bachelor's,1,Economist ,"Interpersonal , speech skills",Economist
Angel,24,Male,UCE certificate,3,Graphics designer,Practical skills,Primary school teacher
Bright,23,Female,Bachelor's,1,Financial Auditor,"Data analysis skills, monitoring and evaluation ",Data analyst
Gaby,23,Male,Bachelor's,3,Project manager,Quick thinking and decision making ,Project manager
Laura Isiga,22,Male,UACE certificate,1,Surveyor,communication ,Surveyor
Peter,24,Male,Bachelor's,2,IT officer,Hacking,IT officer
Patrick,22,Male,Bachelor's,3,Data Scientist ,Learning skills,Computer Science 
Sandra,23,Male,Bachelor's,2,Financial Auditor,Accounting ,Entreprenuer
Marget,24,Male,Bachelor's,2,Data scienist,Data science,Data analyst
Vanessa,22,Female,Bachelor's,1,Petroleum engineer,Networking and softskills,Petroleum production
Paul,32,Male,Bachelor's,3,Civil servant,Communication skills,UX Researcher
Julius,22,Male,UACE certificate,2,System Analyst,Programing,Web Developer
Mansoor,22,Female,Bachelor's,1,Human Resource manager ,"Planning ,Organization ",Human Resource Management 
Robert,21,Male,UACE certificate,3,Writer,Literature ,AI Researcher
Daisy,24,Female,Bachelor's,2,System Administrator,Professionalism and Soft skills,Graphic Designer
Yaseem,24,Male,UACE certificate,1,Volunteer,"Efficient communicating, ",Primary school teacher
Aminah,21,Female,Bachelor's,1,Pharmacist,"Resourcefulness, social networking, ",Nurse
Doreen,23,Male,Bachelor's,3,Project manager,"Communication skills, problem solving skills, leadership skills, emotional intelligence ",Receptionist
Patricia Zareth,22,Female,Bachelor's,1,Data scienist,"Python, sql",Software developer
Bridget,30,Female,Bachelor's,3,Hotel manager,Service delivery ,Project manager
Kimuli,22,Male,Bachelor's,1,Aviation officer,Multitasking ,Aviation officer
Timonthy,25,Male,Bachelor's,2,Personal assisstant,Agility ,Graphic Designer
Tom,24,Male,Bachelor's,3,Lecturer,Public speech and Research skills ,High school teacher
Jane Smith,25,Male,Bachelor's,3,Doctor,"Attention, communication",Content Creator
Bob Johnson,22,Female,Bachelor's,1,Architect ,Use of software and creativity ,Architect
Emily Davis,23,Female,Bachelor's,2,Accounting ,Critical thinking and accuracy ,Entreprenuer
Michael Brown,22,Male,UACE certificate,2,Software Engineer,"Interpersonal relations, communication skills ",Graphic Designer
Sarah Wilson,26,Male,Bachelor's,2,System Administrator,Computer skills,UX Researcher
David Lee,22,Female,Bachelor's,1,Software developer,programming ,IT officer
Laura Martinez,23,Female,UACE certificate,1,Agricultural officer,Flexibility ,Agriculturial officer
Kevin White,26,Male,Bachelor's,3,Project manager,"Problem solving, research and analytical skills",Software engineer
Karen Thompson,24,Male,UACE certificate,1,Entrepreneur,Communication ,Marketing Manager
Richard Anderson,23,Female,Bachelor's,2,Statistician ,Data analysis ,Entreprenuer
Jessica Taylor,22,Female,UACE certificate,1,Data Analyst ,decision making,IT support
Daniel Moore,23,Male,Bachelor's,2,Sport administration,"Leadership, decision making and problem solving",Entreprenuer
Olivia Jackson,22,Female,Bachelor's,1,LAWYER ,communication ,Lawyer
William Martin,23,Male,Bachelor's,1,Marketing ,Aggressiveness,IT support
Sophia Lee,22,Female,Bachelor's,2,Data analyst,Communicatiion,High school teacher
James Perez,21,Female,Bachelor's,1,Software developer,Consistency ,IT officer
Ava Thompson,25,Male,Bachelor's,1,Musician,Guitar and saxophone skills,Accountant
Henry Gonzalez,20,Male,UACE certificate,2,Bank manager ,Mathematics ,Accountant
Mia Robinson,22,Female,UACE certificate,3,Law,Communication,Lawyer
Ethan Clark,22,Female,Bachelor's,2,Human resource manager,Team work,Project manager
Isabella Rodriguez,22,Female,UACE certificate,1,Psychologist,Empathy ,Psychologist
Liam Lewis,22,Female,UACE certificate,3,Care giver,Commitment and patience,Nurse
Chloe Walker,21,Female,Bachelor's,3,Civil engineer ,Fast thinking and coming up with technical solutions to technical problems ,Civil Engineer
Noah Hall,21,Male,UACE certificate,1,IT personnel ,Information technology ,IT personnel
Emma Allen,21,Female,Bachelor's,2,Lecturer,Hands on skills,Psychologist
Mason Young,30,Male,Bachelor's,1,Entrepreneur,Communication skills ,Data analyst
Harper King,22,Male,Bachelor's,1,Software Engineer,Interpersonal ,Software Engineer
Lucas Wright,22,Female,UACE certificate,1,Doctor,Knowledge,Nurse
Amelia Scott,22,Male,Bachelor's,2,Bioinformatics ,Novelity ,Linguist
